iter	Passed	Remaining
976	10709	38288
977	10719	38275
978	10729	38261
979	10740	38248
980	10751	38238
981	10762	38227
982	10772	38213
983	10783	38201
984	10793	38189
985	10803	38175
986	10814	38161
987	10824	38147
988	10834	38133
989	10844	38119
990	10854	38107
991	10865	38095
992	10875	38080
993	10886	38070
994	10897	38057
995	10907	38043
996	10916	38028
997	10927	38015
998	10937	38001
999	10947	37989
1000	10958	37976
1001	10968	37964
1002	10979	37951
1003	10989	37936
1004	10999	37924
1005	11009	37911
1006	11020	37897
1007	11030	37885
1008	11040	37871
1009	11050	37856
1010	11061	37843
1011	11071	37830
1012	11082	37820
1013	11092	37806
1014	11103	37794
1015	11113	37782
1016	11124	37770
1017	11134	37757
1018	11144	37744
1019	11155	37730
1020	11165	37717
1021	11175	37704
1022	11186	37692
1023	11196	37679
1024	11207	37668
1025	11218	37656
1026	11228	37644
1027	11239	37634
1028	11250	37623
1029	11261	37611
1030	11272	37601
1031	11283	37590
1032	11294	37579
1033	11305	37568
1034	11316	37558
1035	11327	37547
1036	11338	37537
1037	11349	37524
1038	11359	37510
1039	11369	37497
1040	11379	37483
1041	11389	37469
1042	11399	37455
1043	11409	37442
1044	11420	37429
1045	11430	37417
1046	11441	37405
1047	11451	37393
1048	11462	37382
1049	11474	37375
1050	11485	37362
1051	11496	37351
1052	11506	37339
1053	11517	37327
1054	11528	37317
1055	11538	37304
1056	11549	37292
1057	11560	37282
1058	11571	37272
1059	11582	37261
1060	11593	37248
1061	11603	37236
1062	11614	37225
1063	11625	37214
1064	11637	37205
1065	11649	37200
1066	11662	37196
1067	11674	37187
1068	11684	37175
1069	11695	37162
1070	11706	37151
1071	11717	37141
1072	11728	37130
1073	11739	37121
1074	11751	37111
1075	11762	37100
1076	11773	37091
1077	11784	37081
1078	11795	37069
1079	11806	37058
1080	11816	37045
1081	11826	37032
1082	11836	37018
1083	11846	37005
1084	11857	36993
1085	11868	36982
1086	11880	36975
1087	11891	36964
1088	11902	36952
1089	11912	36939
1090	11924	36932
1091	11935	36921
1092	11945	36908
1093	11956	36895
1094	11966	36884
1095	11977	36873
1096	11988	36860
1097	11998	36848
1098	12009	36836
1099	12020	36825
1100	12031	36814
1101	12042	36803
1102	12053	36792
1103	12063	36781
1104	12074	36770
1105	12085	36759
1106	12096	36748
1107	12107	36737
1108	12118	36726
1109	12129	36716
1110	12141	36707
1111	12152	36697
1112	12163	36686
1113	12174	36675
1114	12185	36665
1115	12195	36652
1116	12206	36641
1117	12216	36628
1118	12226	36614
1119	12237	36603
1120	12247	36590
1121	12258	36577
1122	12268	36564
1123	12278	36551
1124	12289	36539
1125	12299	36527
1126	12309	36514
1127	12319	36500
1128	12330	36487
1129	12340	36475
1130	12351	36464
1131	12361	36451
1132	12371	36438
1133	12382	36427
1134	12393	36415
1135	12403	36402
1136	12413	36389
1137	12423	36376
1138	12433	36362
1139	12443	36349
1140	12454	36337
1141	12465	36325
1142	12475	36313
1143	12486	36301
1144	12496	36288
1145	12506	36276
1146	12517	36265
1147	12527	36252
1148	12537	36238
1149	12548	36228
1150	12559	36215
1151	12569	36202
1152	12579	36189
1153	12589	36176
1154	12601	36166
1155	12611	36155
1156	12622	36142
1157	12632	36129
1158	12642	36117
1159	12652	36103
1160	12662	36090
1161	12673	36078
1162	12683	36065
1163	12693	36052
1164	12704	36040
1165	12714	36027
1166	12725	36016
1167	12736	36005
1168	12745	35991
1169	12756	35978
1170	12766	35966
1171	12776	35953
1172	12786	35940
1173	12797	35928
1174	12807	35915
1175	12818	35904
1176	12828	35891
1177	12838	35878
1178	12849	35866
1179	12859	35853
1180	12869	35840
1181	12879	35827
